Table of contents for Lexis Coding Project creatd 2013-12-14
id 	 file_name 	 aticle_Title 	 article_Date 	 Classified_as 	 classProbability 	 date_Classified
98 	files/notRelevent/article98	Post Politics Hour; washingtonpost.com's Daily Politics Discussion	2008-10-29	0	files/2008/2008-1.html	2013-12-14
99 	files/notRelevent/article99	Putting Faith in Obama	2008-10-28	0	files/2008/2008-1.html	2013-12-14
100 	files/notRelevent/article100	New to Campaigning, but No Longer a Novice	2008-10-28	0	files/2008/2008-1.html	2013-12-14
101 	files/notRelevent/article101	McCain, que paso?; The GOP nominee is paying for his party's sins -- specifically the mishandling of immigration reform. Democrats, though also guilty, have escaped blame.	2008-10-28	0	files/2008/2008-1.html	2013-12-14
102 	files/notRelevent/article102	Obama ads overwhelm TV presence of McCain; His 3 half-hour spots among $230M of buys	2008-10-28	0	files/2008/2008-1.html	2013-12-14
103 	files/notRelevent/article103	GOP Senator Banks on Obama in Oregon Race; Ads Using Illinois Democrat Play to Tradition of Centrism	2008-10-28	0	files/2008/2008-1.html	2013-12-14
104 	files/notRelevent/article104	The Trail	2008-10-28	0	files/2008/2008-1.html	2013-12-14
105 	files/notRelevent/article105	ABC Jumps Too Late On Obama's 'Buy'	2008-10-28	0	files/2008/2008-1.html	2013-12-14
106 	files/notRelevent/article106	Station Break: Campaign Ads, McCain, Obama, Palin, Biden, Brook Shields Commercials, Joe the Plumber, Christian Science Monitor; Pop Culture and More	2008-10-28	0	files/2008/2008-1.html	2013-12-14
107 	files/notRelevent/article107	Chatological Humor: Gramatically Correct; aka Tuesdays With Moron	2008-10-28	0	files/2008/2008-1.html	2013-12-14
108 	files/notRelevent/article108	McCain Delivers Remarks at a Hershey, Pa. Rally	2008-10-28	0	files/2008/2008-1.html	2013-12-14
109 	files/notRelevent/article109	Post Politics Hour; washingtonpost.com's Daily Politics Discussion	2008-10-28	0	files/2008/2008-1.html	2013-12-14
110 	files/notRelevent/article110	The Day	2008-10-27	0	files/2008/2008-1.html	2013-12-14
111 	files/notRelevent/article111	Democrats in Steel Country See Skin Color, and Beyond It	2008-10-27	0	files/2008/2008-1.html	2013-12-14
112 	files/notRelevent/article112	Campaign Gravy Train At an End	2008-10-27	0	files/2008/2008-1.html	2013-12-14
113 	files/notRelevent/article113	Voter 'anger' has Dems set for big gains in Congress; GOP incumbents at risk as electoral ground shifts	2008-10-27	0	files/2008/2008-1.html	2013-12-14
114 	files/notRelevent/article114	Deep divide splits Washington state; Voters happy to hop parties as they move down ballot	2008-10-27	0	files/2008/2008-1.html	2013-12-14
115 	files/notRelevent/article115	Voters blasted by variety of radio ads; Presidential contest floods airwaves	2008-10-27	0	files/2008/2008-1.html	2013-12-14
116 	files/notRelevent/article116	For GOP, Some Good News at Last -- on the Gubernatorial Front	2008-10-27	0	files/2008/2008-1.html	2013-12-14
117 	files/notRelevent/article117	Outlook: Obama and the End of Fundraising Limits; Democratic Campaigns Actions Show Campaign Finance Reform Is a Partisan Tool, Not Good Policy	2008-10-27	0	files/2008/2008-1.html	2013-12-14
118 	files/notRelevent/article118	Election 2008 Key States: Virginia	2008-10-27	0	files/2008/2008-1.html	2013-12-14
119 	files/notRelevent/article119	Post Politics Hour; washingtonpost.com's Daily Politics Discussion	2008-10-27	0	files/2008/2008-1.html	2013-12-14
120 	files/notRelevent/article120	The Making (and Remaking and Remaking) of the Candidate	2008-10-26	0	files/2008/2008-1.html	2013-12-14
121 	files/notRelevent/article121	No Ordinary Woman	2008-10-26	0	files/2008/2008-1.html	2013-12-14
122 	files/notRelevent/article122	The Invisible Renter	2008-10-26	0	files/2008/2008-1.html	2013-12-14
123 	files/notRelevent/article123	Death Knell Tolls For More Businesses	2008-10-26	0	files/2008/2008-1.html	2013-12-14
124 	files/notRelevent/article124	Mailed Ads Have Become Mostly Negative, Experts Say	2008-10-26	0	files/2008/2008-1.html	2013-12-14
125 	files/notRelevent/article125	Obama's Huge Haul Should End This Fight	2008-10-26	0	files/2008/2008-1.html	2013-12-14
126 	files/notRelevent/article126	A New England Brawl	2008-10-26	0	files/2008/2008-1.html	2013-12-14
127 	files/notRelevent/article127	Comedian Becomes Serious Contender; Democrat Franken Leads Senate Race in Minn.	2008-10-25	0	files/2008/2008-1.html	2013-12-14
128 	files/notRelevent/article128	McCain Blasts Rival On Stump in Colorado; Obama Is Ahead in Polls in GOP State	2008-10-25	0	files/2008/2008-1.html	2013-12-14
129 	files/notRelevent/article129	Obama Has Burst in Ad Spending in Early October	2008-10-25	0	files/2008/2008-1.html	2013-12-14
130 	files/notRelevent/article130	Polls Show Obama Gaining Among Bush Voters	2008-10-24	0	files/2008/2008-1.html	2013-12-14
131 	files/notRelevent/article131	Independent groups spend millions bypassing TV, radio; Some say phone calls, canvassing, mail more effective	2008-10-24	0	files/2008/2008-1.html	2013-12-14
132 	files/notRelevent/article132	McCain's Pitch to Average Joes Focuses on Taxes	2008-10-24	0	files/2008/2008-1.html	2013-12-14
133 	files/notRelevent/article133	Ideology Aside, This Has Been the Year of the Woman	2008-10-24	0	files/2008/2008-1.html	2013-12-14
134 	files/notRelevent/article134	As an Issue, Taxes Favor Obama; Polls Lean Toward Democrat on a Traditional GOP Strength	2008-10-24	0	files/2008/2008-1.html	2013-12-14
135 	files/notRelevent/article135	McCain for President	2008-10-24	0	files/2008/2008-1.html	2013-12-14
136 	files/notRelevent/article136	Barracuda Bandwagon	2008-10-24	0	files/2008/2008-1.html	2013-12-14
137 	files/notRelevent/article137	Spending $5.3B on political races looks scary, but it could be worse; The likely tally for Halloween: $6B	2008-10-23	0	files/2008/2008-1.html	2013-12-14
138 	files/notRelevent/article138	How to look like 150,000 bucks; Palin's spree turns heads left and right	2008-10-23	0	files/2008/2008-1.html	2013-12-14
139 	files/notRelevent/article139	N.M. teams realize every vote counts; State sees flurry of volunteers working to mobilize supporters	2008-10-23	0	files/2008/2008-1.html	2013-12-14
140 	files/notRelevent/article140	Jock the Vote: NBA Players Raise Their Voices; Defying Political Convention, Some Star Athletes Choose Sides in Presidential Race	2008-10-23	0	files/2008/2008-1.html	2013-12-14
141 	files/notRelevent/article141	In Ads, GOP Stresses Obama's Ties to Chicago Developer; But Nominee's Relationship With Rezko Appears to Be Having Little Impact on Voters, Polls Find	2008-10-23	0	files/2008/2008-1.html	2013-12-14
142 	files/notRelevent/article142	Celebritology Live: Sarah Palin Must Be a Celeb, Cuz We Can't Stop Talking About Her; You've Been Served... a Heaping Plate of Gossip	2008-10-23	0	files/2008/2008-1.html	2013-12-14
143 	files/notRelevent/article143	Washington Week With Gwen Ifill	2008-10-23	0	files/2008/2008-1.html	2013-12-14
144 	files/notRelevent/article144	Post Politics Hour; washingtonpost.com's Daily Politics Discussion	2008-10-23	0	files/2008/2008-1.html	2013-12-14
145 	files/notRelevent/article145	On Shopping and Patriotism	2008-10-23	0	files/2008/2008-1.html	2013-12-14
146 	files/notRelevent/article146	On Shopping and Patriotism	2008-10-23	0	files/2008/2008-1.html	2013-12-14
147 	files/notRelevent/article147	Inside the Times, October 22, 2008	2008-10-22	0	files/2008/2008-1.html	2013-12-14
148 	files/notRelevent/article148	After a Year on the Road, Obama Is Changing His Tempo	2008-10-22	0	files/2008/2008-1.html	2013-12-14
149 	files/notRelevent/article149	Democrats or Republicans, Latinas Are Swaying the Vote	2008-10-22	0	files/2008/2008-1.html	2013-12-14
150 	files/notRelevent/article150	Obama's Iffy Numbers On McCain Health Plan	2008-10-22	0	files/2008/2008-1.html	2013-12-14
151 	files/notRelevent/article151	The 'Socialist' Scare	2008-10-22	0	files/2008/2008-1.html	2013-12-14
152 	files/notRelevent/article152	Government Contracting and Small Businesses	2008-10-22	0	files/2008/2008-1.html	2013-12-14
153 	files/notRelevent/article153	The Reliable Source: Palin Wardrobe, Tina Fey, Jessica Cutler, The Kennedys	2008-10-22	0	files/2008/2008-1.html	2013-12-14
154 	files/notRelevent/article154	Post Politics Hour; washingtonpost.com's Daily Politics Discussion	2008-10-22	0	files/2008/2008-1.html	2013-12-14
155 	files/notRelevent/article155	The Pulse of the Pol	2008-10-22	0	files/2008/2008-1.html	2013-12-14
156 	files/notRelevent/article156	U.S. Is Said To Be Urging New Mergers In Banking	2008-10-21	0	files/2008/2008-1.html	2013-12-14
157 	files/notRelevent/article157	Copyright and Politics Don't Mix	2008-10-21	0	files/2008/2008-1.html	2013-12-14
158 	files/notRelevent/article158	Joe the Marketer Responds to a Category 5 Hurricane	2008-10-21	0	files/2008/2008-1.html	2013-12-14
159 	files/notRelevent/article159	McCain camp vows to beat funding mismatch	2008-10-21	0	files/2008/2008-1.html	2013-12-14
